Number,Topic,Comment,Document Detail (URL),Highlighting
1,1,"Rare earth elements in Wind Turbines and Electric cars need more safety, There have been several incidents involving both lithium primary (non-rechargeable) and lithium-ion (rechargeable) batteries Aircraft Cargo Fire- REPORT April 99 (LAX)-Dropped pallet of lithium primary batteries on ramp caught fire-No external ignition source REPORT FEDEX -Memphis incident -A shipment of lithium-ion batteries were placed in a cargo container and loaded into a FEDEX aircraft -The handlers smelled smoke and determined it was coming from the cargo container -The container was off loaded from the aircraft and burst into flames on the ramp -NTSB investigation determined the source of the fire was the lithium battery shipment REPORT A relatively small fire source is sufficient start a lithium battery fire The ignition of a single battery produces enough heat to ignite adjacent batteries Halon 1301 is ineffective in suppressing a lithium battery fire , Batteries of the same type but from different manufacturers exhibit varying flammability characteristics. REPORT Halon 1301 chemically interacts with the burning lithium and electrolyte-with no effect on fire intensity, Cargo liner is vulnerable to penetration by molten lithium, Batteries fuse together when exposed to flame, promoting propagation between batteries. The temperatures found in a suppressed smoldering cargo fire are sufficient to ignite a primary lithium battery . The pressure rise due to battery ignition is sufficient to compromise the integrity of a cargo compartment. RSPA Interim Final Rule Issued ""Prohibition on the Transportation of Primary Lithium Batteries and Cells Aboard Passenger Aircraft"" , 49 CFR Parts 171, 172, 173 and 175 [Docket No. RSPA-04-19886 (HM-224E] RIN 2137-AE05. prohibits primary lithium battery cargo shipments on passenger carrying aircraft, Federal Register, December 15, 2004, Page 75208 TEST Propagation: the heat generated by the cells that vented electrolyte would often ignite adjacent cells even after the alcohol fire had exhausted its fuel and gone out -Explosion: occasionally, a cell did not vent, and instead exploded forcefully, expelling the entire contents of the cell from the casing, Fire ball from electrolyte mist, Large pressure pulse. single battery raises the pressure in the nearly airtight 10 m3 facility 0.2 psi, Four batteries can raise it as much as 1.2 psi, A single exploding battery can raise the pressure 0.5 psi Sun newspaper article shows oct 19 2017 Huge blaze is caused by burning lithium-ion battery in Tesla Model Toxic gases released by the burning power packs meant firefighters had to wear special breathing kit to tackle the blaze. And while the driver made it out safely, it took five fire engines, 35 crew members and two hours to finally get the fire under control.Web site is https://www.thesun.co.uk/motors/4721171/terrifying-tesla-video-shows-unstoppable-electric-car-inferno-that-took-35-firefighters-to-extinguish/ the web site has video highlights the potential dangers of millions of electric cars flooding UK roads and the prospect of an uncontrollable blaze breaking out. Electric cars with subsidy of 7,500 given to rich, report shows the average buyer makes 150,000 a year. While the material is mined by child labor in Africa make 2 bucks a day America tax payer money going overseas to finance the Electric cars that are toxic not clean just check to air quality in China, BUDGET NEED REPEAL the Plug-in Electric Drive Motor Vehicle Credit . America stop financing oversea dirty companies . Birds and Bats are at risk near Wind Turbines with Rare Earth, American Child are put at risk with Toxic Lithium battery, Ban them.",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0202,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">jumped</span> over the <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span><i></i>"
2,2,"The United States has suffered one of the worst wildfire seasons in recent history this year. According to the National Interagency Fire Center, as of now, more than 8.5 million acres have burned in 2017 so farmore than 47% higher than the 10 year average. In 2016, the Department of the Interior and the USFS spent almost $2 billion combined on wildfire suppression. Interjurisdictional coordination challenges and an accumulation of hazardous fuels in national forests due to a lack of active forest management increase fire risk to communities and threaten the federal government's ability to rein in firefighting costs. We must address the chronic litigation that hinders our resource/land management professionals
 Federal Firefighting Costs (Suppression Only) per year 2016 total fires 67,743 with 5,509,995 acreage burned cost was $1,975,545,000,.... 2015 we had 68,151 fires on 10,125,149 burned acres and costs $2,130,543,000, 2014 total fired 63,312 on 3,595,613 Acres burned at costs $1,522,149,000, .... 2013 fires 47,579 on 4,319,546 acres burned with cost of $1,740,934,000,..... 2012 fires 67,774 on 9,326,238 acres burned at cost of $1,902,446,000, In 2011 fires 74,126 with 8,711,367 acres burned at cost of $1,374,525,000. This is outrageous, new management new ideas are need.
Time to Sell Timber for Forest Service income which also thins the forest of old growth and dead bushes. USFS should expedite regulatory analyses for timber sales. This will provide the USFS with some of the revenue it needs to execute critical and time-sensitive pre-fire thinning and cutting work. improving forest health and reducing wildfire risk. Increased active management will generate more revenue for the federal treasury and the critical services provided by counties, and promote job creation and economic growth in counties across the nation. a market-driven approach to forest management projects can work to achieve both forest management goals and increased forest production. Increased utilization of commercial thinning activities reduces fire risk, provides ecological benefits, and can provide the federal government with additional financial resources to better manage our forests. USFS with an opportunity to implement improved and efficient forest management practices and minimize the impacts of catastrophic fire. The Equal Access to Justice Act (EAJA) must be reformed to ensure litigants are not able to exploit the law, and avoid legal caps on attorney's fees against the USFS.
So why can the past EPA administration criticize gas and oil industry, coal, pipelines, greenhouse gas emissions when the clear and present danger was right in front of them in the form of Wildfires. Wildfires contain particulate matter, hydrocarbons and other organic chemicals, nitrogen oxides, and trace minerals. The individual compounds present in smoke number in the thousands. Particulate matter is the principal pollutant of concern from wildfire smoke. these particles are within the fine particle PM2.5 fraction and can be inhaled into the deepest recesses of the lung and may represent a greater health concern than larger particles. Another pollutant of concern during smoke events is carbon monoxide, which is a colorless, odorless gas produced by incomplete combustion of wood or other organic materials. Wildfire gaseous pollutants are precursors for ozone (O3) production. 
Wildfire was not even in the reports as to cause of greenhouse gas emissions. Total witch hurt. Agencies need to re examine all emission reports. California should be part of Cross-State Air Pollution Rule (CSAPR). Repeal and replace or review the Wildland Fire Leadership Council (WFLC), National Strategy Committee (NSC) , Fire Executive Council (FEC) , National Cohesive Wildland Fire Management Strategy, Federal Land Assistance, Wildland Fire Implementation Plan (WFIP), Wildland Fire Situation Analysis, The Wildland Fire Situation Analysis process, Guidance for Implementation of Federal Wildland Fire Management Policy (2009), Land/Resource Management Plan (L/RMP), Management and Enhancement Act of 2009 (FLAME Act), WFLC was established in April 2002 by the Secretaries of Agriculture and the Interior to provide an intergovernmental committee to support the implementation and coordination of Federal Fire Management Policy. In April 2010, the Secretaries of Interior, Agriculture and Homeland Security authorized the continuation of the WFLC.",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0228,"<span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">fox</span><i></i>"
3,3,"Nearly 1.5 million unconventional gas activity JOBS contributing to the economy, nearly one-fifth are projected for non-producing states. , CBO estimates that federal royalties from shale (minus the amounts that the federal government transfers to the states) will be in the hundreds of million annually by 2020. The increases in GDP associated with increased productivity would spur further increases in GDP by increasing the supplies of labor and capital. Royalites to Indian tribes provides income for Medical, Schools, and Roads. Report had good news for clean water, USGS Assesses Current Groundwater-Quality Conditions report on November 17, 2014, in the Williston Basin Oil Production Area of Montana and North Dakota, which includes the Bakken and Three Forks Formations, ...has NOT affected shallow groundwater quality, .......according to a recently published study in the journal Groundwater. The paper is based on water samples collected by U.S. Geological Survey scientists from 30 randomly distributed, non-federal domestic wells screened in the upper Fort Union Formation. The study compared concentrations of several chemicals to health-based drinking-water standards, analyzed correlations between concentrations and oil and gas well locations and evaluated methane for indications of deep production-zone gases. ""These results are good news for water users, and the data provide a valuable baseline against which future water-quality data can be compared,"" said Peter McMahon, a USGS hydrologist and lead author of the study .November 17, 2014 USGS Assesses Current Groundwater-Quality Conditions. Report ""has NOT affected shallow groundwater quality""
August 11, 2016 EPA Science Advisory Board (SAB) is pleased to transmit its response to a request from the U.S. Environmental Protection Agency (EPA) Office of Research and Development (ORD) to review and provide advice on scientific charge questions associated with the EPA's draft Assessment of the Potential Impacts of Hydraulic Fracturing for Oil and Gas on Drinking Water Resources (External Review Draft, EPA/600/R-15/047, June 2015). ...NOTED..... EPA Executive Summary are ambiguous and appear inconsistent with the observations, data, and levels of uncertainty presented and discussed in the body of the draft Assessment Report. 
EPA Science Advisory Board August 11, 2016, said ""We did NOT find evidence that these mechanisms have led to widespread, systemic impacts on drinking water resources in the United States."" The BLM oversees approximately 700 million subsurface acres of Federal mineral estate and carries out some of the regulatory duties of the Secretary of the Interior for an additional 56 million acres of Indian mineral estate across the United States. Currently, nearly 36 million acres of Federal land are under lease for potential oil and gas development in 33 states. As of June 30, 2014, there were approximately 47,000 active oil and gas leases on public lands, and approximately 95,000 oil and gas wells.
Science Advisory Board in 2016 found that the past EPA did not support quantitatively its conclusion about lack of evidence for widespread, systemic impacts of hydraulic fracturing on drinking water resources, and did not clearly describe the system(s) of interest (e.g., groundwater, surface water), the scale of impacts (i.e., local or regional), nor the definitions of ""systemic"" and ""widespread."" . The SAB concludes that if the EPA retains this conclusion, the EPA should provide quantitative analysis that supports its conclusion that hydraulic fracturing has not led to widespread, systemic impacts on drinking water resources. Twenty-six of the 30 members of the SAB Panel concluded that the statement also requires clarification and additional explanation (e.g., discuss what is meant by ""any observed change"" in the definition of ""impact"" in Appendix J, and consider including modifying adjectives before the words ""widespread, systemic impact"" in the statement on page ES-6).",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0234,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jump</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span><i></i>"
4,4,"The Bureau of Indian Affairs would like to express the need for local mitigation for projects in or near Reservations, as well as off-Reservation traditional sites, to benefit the natural resources of the native peoples.",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0027,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">lazy</span><i></i>"
5,5,"Federal regulation agencies must again balance its statutory requirements to issue regulations and its commitment to providing regulatory certainty through improvements to existing regulations that were flawed, outdated, ineffective, or unnecessarily burdensome, two deregulatory actions for each final regulatory action, without more new costs on the U.S. economy. Lower regulatory burdens on the American people though commonsense regulatory reform, curbing unnecessary regulatory burdens that stifle economic growth for communities across the country. Regulations that are outdated, duplicative, or unnecessary, yet they continue to impose costly burdens need rescinded, eliminated or modify them . President Trump has committed to reducing the regulatory burden on the American public in order to promote economic growth, job creation, and innovation so the agencies should follow his lead for all taxpayers. Excessive and unnecessary federal regulations limit individual freedom and suppress the innovation and entrepreneurship that make America great. To ensure that regulations are consistent with law, necessary to correct a substantial market failure, and net beneficial to the public. The peoples regulatory philosophy and approach emphasize the connection between limited government intervention and individual liberty , more limited, effective, and accountable regulatory policy.. Regulatory policy should serve the American people by staying within legal limits and administering the law with respect for due process and fair notice. It is essential to manage the costs associated with the governmental imposition of private expenditures required to comply with Federal regulations. Promote sound science and economic analysis that akes seriously retrospective review and the imperative to evaluate the actual costs and benefits of existing regulations. Agencies should develop improved regulatory impact analyses of the costs and benefits of their actions, relying on reasonable assumptions and public input. Review previous regulatory impact assessments to ensure that they reflect the best possible estimate of costs and benefits to the taxpayers. Philosophy to emphasizes the rule of law, including constitutional, statutory, and procedural limits on administrative action. For instance, OIRA requires agencies to indicate the legal authority for regulatory actions, whether from a statute or judicial order.Look closely at planned regulatory and deregulatory actions to ensure that they follow the law and the correct administrative procedures. Agencies should closely examine their use of sub-regulatory actions, such as guidance documents, enforcement manuals, interpretive rules can serve an important role in explaining existing statutory or regulatory requirements; however, they should not be used to impose new or additional legal obligations or requirements. Take a close look at existing guidance documents to assess whether some of them should be withdrawn or modified, or whether their requirements should go through a process of notice and comment rulemaking. Clarifying existing law rather than making new law will provide greater transparency about the regulatory process and ensure that regulated entities and the public have notice and an opportunity to comment on significant changes in regulatory requirements. Agencies should administer the law found in statutes, not make new law, and they should respect the judicial role in enforcing limits on administrative power. Moreover, faithful execution of the laws requires the Administration be directly accountable for its regulatory policies and ensure that regulations and their enforcement benefit the American people. A new direction that recognizes the costs of accumulated regulatory burdens and looks for ways to reduce those burdens by modifying or eliminating regulations; revising or eliminating guidance documents; and streamlining information collections. Should be guided by good regulatory practices, which include regulating only when necessary, carefully studying lawful alternatives, and engaging with the public and affected parties. Agencies should regulate only when the benefits substantially outweigh the costs, and OIRA should carefully examine each proposed regulation to ensure that it is the least burdensome regulatory approach that meets the relevant statutory standards. Push against the inertia of steadily expanding regulatory burdens and represent this Administration's commitment to reducing regulations that no longer benefit our society. Provide a clear message that the public can invest and plan for the future without the looming threat of burdensome and unnecessary new regulations.",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0249,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">jumped</span> over the <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span><i></i>"
6,6,"

Congress mandated the collection of monies by the Government be controlled by the Miscellaneous Receipts Act use it and enact New rule to Change the independent Consumer Financial Protection Bureau to be accountable to the people, which created by Dodd-Frank (repeal), the concern goes well beyond lack of regulatory review : there exists a fundamental lack of accountability, either executive or legislative or judicial, since the President cannot remove the director, and since Congress does not fund the self-financing agency. Congress lacks even the necessary ""power of the purse"" to ensure even an appearance of accountability to voters. End Carbon Trading would help all America. End this Mandate on Business. Should investigate SEC on how rules on certain American companys have changed, should investigate Bitcom ( looks like no accountability to value, remember the Holland Tulip Bulb bubble?? 
The Equal Access to Justice Act (EAJA) must be reformed to ensure litigants are not able to exploit the law, and avoid legal caps on attorney's fees. the Regulatory Flexibility Act has directed federal agencies to assess their rules' effects on small businesses and describe regulatory actions under development ""that may have a significant economic impact on a substantial number of small entities"" (US GPO, 2009: 64,131-32). the REINS Act (Regulations from the Executive in Need of Scrutiny, H.E. 367) to require an expedited congressional vote on all major or significant rules before they are effective. END OR REPEAL THE independent Consumer Financial Protection Bureau created by Dodd-Frank , Unfunded Mandates Reform Act of 1995 (P.L. 104-4), New-Deal Administrative Procedure Act (APA) of 1946 (P.L. 79-404), which set up the process of public advance notice of rule-makings, National Environmental Policy Act (NEPA) need review and reformed. Clean Development Mechanism (CDM), introduced into the United Nations' Kyoto Protocol by the Clinton administration, and it allowed industrial nations to buy and use credits from poorer nations that had found ways to radically reduce emissions. 2008, China was raking in billions of dollars by selling credits from one of these schemes the Clean Development Mechanism is intended to provide a mechanism to start reigning in the rapid growth of developing country emissions without these countries themselves bearing the costs. The intent is that developing countries will engage more over time, in subsequent negotiation rounds, if and as the richer countries fulfil their commitments. S. 1109, Truth in Settlements Act of 2015, ""requires federal agencies to make public non-confidential information about settlement agreements to ensure transparency . 
REFORM The Equal Access to Justice Act (EAJA) . Revise Improper Payments Information Act of 2002 (IPIA). GREATER USE use of Regulatory Flexibility Act to assess rules effects on small businesses. BETTER USE OF REINS Act expedited congressional vote on all major or significant rules before they are effective. . REFORM National Environmental Policy Act (NEPA). REPEAL independent Consumer Financial Protection Bureau. REPEAL Dodd-Frank. BETTER USE OF Unfunded Mandates Reform Act of 1995 (P.L. 104-4), & Congressional Review Act (CRA) requires cost-benefit and other analyses for rules. RESCIND use of Clean Development Mechanism (CDM, BETTER USE of New-Deal Administrative Procedure Act (APA) of 1946 (P.L. 79-404), which set process of public advance notice of rule-makings. More Transparences in Agencies with Truth in Settlements Act of 2015 and Miscellaneous Receipts Act RESCIND use of Clean Development Mechanism (CDM) , investigate carbon Trust. REPEAL Dodd-Frank. Rsend or repeal, National Grid Development Carbon Tax/Cap and Trade, Quota/Renewable Portfolio Standard. Renewable Energy Credits (RECs)/ Green Certificates. Production Tax Credit (PTC), Investment Tax Credit (ITC)










--------------------------------------------------------------------------------

 ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0201,"<span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">fox</span><i></i>"
7,7,"

Each year the wind industry is responsible for killing some 440,000 birds, including golden and bald eagles. According to estimates by the American Bird Conservancy, Even though many of these birds are protected by laws such as the 1918 Migratory Bird Treaty Act, in a congress 2015 report, Bureaucrats in Obama Administration routinely applied laws differently, often giving a pass to their allies while vigorously prosecuting businesses and individuals who do not share their far-left political ideals. A prime example of this can be found in the clearly differential treatment towards the protection of animals. In those years renewable energy companies had enjoyed preferential treatment, including the ability to avoid compliance with laws as well as generous tax breaks, government loans, and subsidies unavailable to oil and gas companies, despite the inherent risk and financial loss repeatedly presented. 
A congress report outlined, while administration agencies In September 2014, were actively blocking oil and natural gas development claiming to be protecting endangered species, it developed a plan intended to ""create a framework to streamline renewable energy permitting...on more than 22 million acres"" of public and private land in the California desert full of endangered animals. The 8,000 page plan, which encompassed nearly one-quarter of the state, had been in the works for five years under President Obama to avoid ""typically long, complicated environmental reviews,"" which are in place because of these environmentalists themselves. There serves perhaps no greater example of preferential treatment Ivanpah Solar Electric Generating System project near the California and Nevada border. In addition to the clear cronyism displayed on this project, the Ivanpah Solar Electric Generating System project serves as a textbook example of how far this Administration is willing to bend over backwards for its friends at the expense of others. Owners were granted federal money to build the Ivanpah project in an area that ""served as prime desert tortoise habitat,"" which resulted in tortoise casualties. The tortoises, which are federally listed as threatened, are not the only casualties of Ivanpah as project biologists reported the killing of 76 birds in the final three months of last year alone. In addition, the Ivanpah project had been labeled a risk to air safety due to an unsafe glare coming from the thousands of billboard-sized mirrors ""nearly blinding"" pilots. As if killing animals, endangering the lives of aircraft passengers, and perpetuating the revolving door of cronyism with this project was not enough, Ivanpah owners successfully got the agency to delay the repayment of hundreds of millions of dollars in federal loans only to astonishingly apply for a $539 million grant from the U.S. Treasury to pay off their debt to agency. These are just fraction of efforts by past Administration to play favorites, picking their far-left environmentalist friends as winners while attacking hydraulic fracturing and subsequently the oil and gas industries all at the expense of the American people.
Wind turbines are over two times as tall as the skyboxes at a Stadium and taller than the Statue of Liberty. And the blades on windmills can be as long as a football field and their blinking lights can be seen for twenty miles.
Solar panels pose major risks to firefighters who are struggling to finds ways to safely put out blazes caused by the alternative energy source. For example, in 2013 it took more than 300 firefighters over 72 hours to put out an 11-alarm fire at a massive distribution center in South New Jersey, which ultimately destroyed the entire building. The roof of the almost 300,000 square foot facility was lined with more than 7,000 solar panels. One of the major concerns for firefighters is the risk of electrocution from solar panels because most cannot be turned off, leaving the wiring hot and dangerous. These dangers have forced firefighters to extinguish fires from a distance and focus merely on containing solar panel fires rather than trying to save the actual building.
Solar panels and wind turbines cannot be made without fossil fuels. A wind turbine is comprised of primarily steel (89.1%) and fiberglass (5.8%). Steel is made from iron ore through a process using coal or natural gas, and fiberglass is made from petroleum-based chemicals. In fact, the U.S. Geological Survey (USGS) listed as a disadvantage of wind power, ""The consumption of fossil fuels and water during construction and decommissioning can be significant."" 
Solar panels rely on photovoltaic cells to capture sunlight that are composed of rare metals. These metals are acquired through mining, and at least one of the primary metals is made ""from ash derived from burning coal for the production of energy.""










--------------------------------------------------------------------------------

 ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0251,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jump</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span><i></i>"
8,8,"researchers have found that the climate around a large WIND farm in Texas was affected by the presence of the turbines. found a ""significant warming trend"" , This could have long term effects on WILDLIFE living in the immediate areas of larger wind farms.

 It could also affect regional weather patterns as warmer areas affect the formation of cloud and even wind speeds Satellite data over a large area in Texas, that is now covered by four of the world's largest wind farms, found that over a decade the local temperature went up by almost 1C as more turbines are built.. Taking the ground temperatures measured by satellites, they detected a warming of 0.5C at night in the region directly under the farm. This approach was first attempted by David Keith and colleagues in 2004. When they compared the climate in their model with and without extremely large wind farms (large enough to generate about twice the world's total present electrical demand), they found that in addition to climate effects in the immediate vicinity of the wind farms, there were changes in climate all around the world. Vautard's study agrees with this earlier work, in finding that the climate impacts of wind farms extend beyond the farms themselves and are caused by changes in the flow of the atmosphere that bring warming and cooling to different regions around the wind farms.

I think we should be careful with these things.
",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0189,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">lazy</span><i></i>"
9,9,"September 2006 News article claimed that polar bears in the Arctic are threatened with extinction by global warming. The article quoted a visitor to the Arctic who claims he saw two distressed polar bears. According to the article, the man noted that ""one of the polar bears looked to be dead and the other one looked to be exhausted."" The article did not state the bears were actually dead or exhausted, rather that they ""looked"" that way. What was missing from this article was the fact that according to biologists who study the animals, polar bears are doing quite well. Biologist Dr. Mitchell Taylor from the Arctic government of Nunavut, a territory of Canada, refuted these claims in May when he noted that ""Of the 13 populations of polar bears in Canada, 11 are stable or increasing in number. They are not going extinct, or even appear to be affected at present."" Sadly, it appears that reporting anecdotes and hearsay as fact, has now replaced the basic tenets of journalism. Each such alarmist article is larded with words such as 'if', 'might', 'could', 'probably', 'perhaps', 'expected', 'projected' or 'modeled' - and many involve such deep dreaming, or ignorance of scientific facts and principles, that they are akin to nonsense,"" a professor concluded in an op-ed. A Magazine which first warned of a coming ice age in 1920's before switching to warning about global warming in the 1930's before switching yet again to promoting the 1970's coming ice age scare. The April 3, 2006 global warming special report of Magazine was a prime example of the media's shortcomings, as the magazine cited partisan left-wing environmental groups with a vested financial interest in hyping alarmism. Example ENGINEERED ''CONSENSUS"" a newspaper featured an op-ed by a social scientist at University and the author of a 2004 Science study. Insisted that a review of 928 scientific papers showed there was 100% consensus that global warming was not caused by natural climate variations. However, the analysis in Magazine excluded nearly 11,000 studies or more than 90 percent of the papers dealing with global warming, according to a critique by social scientist. ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0254,"the <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">quick</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">jumped</span> <span style=""background-color: yellow"">fox</span> <span style=""background-color: #9999ff"">jumped</span> over the <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span><i></i>"
10,10,"General Comment: Natural resource managers for DoD are faced with significant and recurring challenges associated with ensuring sustainability and compatibility of both Military Mission and threatened, endangered, and at-risk species requirements. Final approval of this Draft Compensatory Mitigation Policy should provide tangible opportunities to generate much needed flexibility in facilitating those requirements. The fact that USFWS leadership, with a knowledge and understanding of the many complex issues at hand, had the foresight to develop this reasonable and defensible alternative solution to traditional processes is encouraging. There will no doubt be challenges associated with developing and implementing specific compensatory mitigation plans; however, it is abundantly clear to me that this new policy can further encourage effective collaboration, enable proactive resolution of complex issues, and ultimately benefit both natural resources and Military Mission requirements. Additionally, having the opportunity to shift from a primarily reactive approach to more proactive one should pay big dividends with respect to implementation of adaptive ecosystem management strategies on a landscape scale. In the increasingly complicated and ever evolving landscape of policy, resource limitations, and competing requirements, this new Policy is a refreshing approach. Mitigation and resolution of complex issues to the benefit of natural resources while also ensuring flexibility for execution of necessary actions in a reasonable, defensible, and cost effective manner simply makes sense! I recommend this Draft Policy be approved and formalized so that inter-agency cooperation can result in further realizing compatible and sustainable solutions which are truly in the best collective interest of the species, personnel, and agency Missions involved! ",https://www.regulations.gov/document?D=FWS-HQ-ES-2015-0165-0017,"<span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">lazy</span> <span style=""background-color: #9999ff"">dog</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: #9999ff"">brown</span> <span style=""background-color: yellow"">fox</span><i></i>"
