Topic,Comments,Word 1,Word 2,Word 3,Word 4,Word 5
Topic 1,9,land,percent,conservancy,mitigation,use
Topic 2,16,gas,report,oil,greenhouse,carbon
Topic 3,9,wildlife,energy,project,bird,migratory
Topic 4,7,management,pollutant,california,quality,bureau
Topic 5,9,year,value,bat,control,tax
Topic 6,21,climate,world,farm,science,study
Topic 7,7,mitigation,policy,gain,conservancy,goal
Topic 8,10,wind,energy,bird,region,tax
Topic 9,7,water,study,gas,development,oil
Topic 10,5,habitat,use,recovery,law,government
